lexId,language,speech,nameType,lexSet,lexText,gloss,freqLex,rankLex
1440422,hbo,nmpr,pers,,מִיכָאֵל,Michael,13,1916
1440423,hbo,nmpr,pers,,נַחְבִּי,Nahbi,1,5715
1440424,hbo,nmpr,pers,,וָפְסִי,Vophsi,1,5715
1440425,hbo,nmpr,pers,,גְּאוּאֵל,Geuel,1,5715
1440426,hbo,nmpr,pers,,מָכִי,Maki,1,5715
1440427,hbo,adjv,,,רָפֶה,slack,4,3479
1440428,hbo,subs,,,מִבְצָר,fortification,37,940
1440429,hbo,adjv,,,רָזֶה,lean,2,4540
1440430,hbo,nmpr,topo,,צִן,Zin,10,2230
1440431,hbo,nmpr,topo,,רְחֹב,Rehob,6,2866
1440432,hbo,nmpr,topo,,חֲמָת,Hamath,36,960
1440433,hbo,nmpr,pers,,אֲחִימַן,Ahiman,4,3479
1440434,hbo,nmpr,pers,,שֵׁשַׁי,Sheshai,3,3915
1440435,hbo,nmpr,pers,,תַּלְמַי,Talmai,6,2866
1440436,hbo,subs,,,עֲנָק,neck,17,1596
1440437,hbo,nmpr,topo,,צֹעַן,Zoan,7,2659
1440438,hbo,nmpr,topo,,אֶשְׁכֹּל,<valley of grapes>,4,3479
1440439,hbo,subs,,,זְמֹורָה,shoot,5,3122
1440440,hbo,subs,,nmcp,אֶפֶס,end,43,821
1440441,hbo,adjv,,,בָּצוּר,fortified,25,1239
1440442,hbo,verb,,,הסה,be still,8,2471
1440443,hbo,subs,,,בַּז,spoiling,25,1239
1440444,hbo,verb,,,נאץ,contemn,24,1286
1440445,hbo,subs,,,גֹּדֶל,greatness,13,1916
1440446,hbo,subs,,,זְנוּת,fornication,9,2329
1440447,hbo,subs,,,תְּנוּאָה,opposition,2,4540
1440448,hbo,verb,,,עפל,be heedless,2,4540
1440449,hbo,nmpr,topo,,חָרְמָה,Hormah,9,2329
1440450,hbo,subs,,,שְׁלִישִׁית,third part,23,1317
1440451,hbo,subs,,,עֲרִיסָה,dough,4,3479
1440452,hbo,subs,,,חֶטְאָה,error,1,5715
1440453,hbo,verb,,,גדף,blaspheme,7,2659
1440454,hbo,subs,,,צִיצִת,tuft,4,3479
1440455,hbo,nmpr,pers,,דָּתָן,Dathan,10,2230
1440456,hbo,nmpr,pers,,אֲבִירָם,Abiram,11,2114
1440457,hbo,nmpr,pers,,אֹון,On,1,5715
1440458,hbo,nmpr,pers,,פֶּלֶת,Peleth,2,4540
1440459,hbo,adjv,,,קָרִיא,summoned,2,4540
1440460,hbo,verb,,,שׂרר,rule,6,2866
1440461,hbo,verb,,,נקר,bore out,6,2866
1440462,hbo,subs,,,בְּרִיאָה,what is created,1,5715
1440463,hbo,adjv,,,רִקֻּעַ,beaten,1,5715
1440464,hbo,verb,,,רמם,rise,5,3122
1440465,hbo,subs,,padv,מְהֵרָה,haste,20,1454
1440466,hbo,verb,,,צוץ,blossom,8,2471
1440467,hbo,subs,,,מְרִי,rebellion,23,1317
1440468,hbo,subs,,,מָשְׁחָה,portion,1,5715
1440469,hbo,subs,,,יִצְהָר,oil,23,1317
1440470,hbo,subs,,ppre,חֵלֶף,return,2,4540
1440471,hbo,subs,,,יֶקֶב,pit,16,1679
1440472,hbo,subs,,,צָמִיד,cover,1,5715
1440473,hbo,subs,,,סֶלַע,rock,60,621
1440474,hbo,subs,,,מְסִלָּה,highway,27,1184
1440475,hbo,subs,,,מֶכֶר,price,3,3915
1440476,hbo,nmpr,topo,,הֹר,Mount Hor,12,2014
1440477,hbo,nmpr,topo,,עֲרָד,Arad,4,3479
1440478,hbo,nmpr,topo,,אֲתָרִים,Atharim,1,5715
1440479,hbo,subs,,,קְלֹקֵל,starvation-bread,1,5715
1440480,hbo,subs,,,שָׂרָף,serpent,7,2659
1440481,hbo,nmpr,topo,,אֹבֹת,Oboth,4,3479
1440482,hbo,nmpr,topo,,עִיֵּי הָעֲבָרִים,Iye Abarim,2,4540
1440483,hbo,nmpr,topo,,זֶרֶד,Zered,4,3479
1440484,hbo,nmpr,topo,,אַרְנֹון,Arnon,25,1239
1440485,hbo,nmpr,topo,,וָהֵב,Waheb,1,5715
1440486,hbo,nmpr,topo,,סוּפָה,Suphah,1,5715
1440487,hbo,subs,,,אָשֵׁד,slope,7,2659
1440488,hbo,nmpr,topo,,עָר,Ar,6,2866
1440489,hbo,nmpr,topo,,בְּאֵר,Beer,2,4540
1440490,hbo,nmpr,topo,,מַתָּנָה,Mattanah,2,4540
1440491,hbo,nmpr,topo,,נַחֲלִיאֵל,Nahaliel,2,4540
1440492,hbo,nmpr,topo,,בָּמֹות,Bamoth,2,4540
1440493,hbo,subs,,,גַּיְא,valley,58,635
1440494,hbo,nmpr,topo,,פִּסְגָּה,Pisgah,8,2471
1440495,hbo,nmpr,topo,,יְשִׁימֹן,Jeshimon,6,2866
1440496,hbo,nmpr,pers,,סִיחֹון,Sihon,37,940
1440497,hbo,nmpr,topo,,יָהְצָה,Jahzah,7,2659
1440498,hbo,nmpr,topo,,חֶשְׁבֹּון,Heshbon,38,919
1440499,hbo,verb,,,משׁל,say proverb,18,1543
1440500,hbo,subs,,,לֶהָבָה,flame,17,1596
1440501,hbo,subs,,,קִרְיָה,town,30,1106
1440502,hbo,intj,,,אֹוי,woe,24,1286
1440503,hbo,nmpr,pers,,כְּמֹושׁ,Chemosh,8,2471
1440504,hbo,subs,,,פָּלֵיט,escaped one,5,3122
1440505,hbo,subs,,,שְׁבִית,captivity,4,3479
1440506,hbo,nmpr,topo,,דִּיבֹן,Dibon,11,2114
1440507,hbo,nmpr,topo,,נֹפַח,Nophah,1,5715
1440508,hbo,nmpr,topo,,מֵידְבָא,Medeba,5,3122
1440509,hbo,nmpr,topo,,יַעְזֵר,Jazer,13,1916
1440510,hbo,verb,,,לכד,seize,121,363
1440511,hbo,nmpr,topo,,בָּשָׁן,Bashan,60,621
1440512,hbo,nmpr,pers,,עֹוג,Og,22,1353
1440513,hbo,nmpr,topo,,אֶדְרֶעִי,Edrei,8,2471
1440514,hbo,subs,,,שָׂרִיד,survivor,28,1155
1440515,hbo,subs,,,עֲרָבָה,desert,61,612
1440516,hbo,nmpr,topo,,יְרִיחֹוֿ יְרִחֹו,Jericho,57,648
